index,yhat,yhat_lower,yhat_upper,material
<<<<<<< HEAD
2024-12-31,37332.82945239109,37332.82944270721,37332.82946218541,Bricks
2025-01-31,47070.97850001037,47070.978481880025,47070.97851852885,Bricks
2025-02-28,-78264.93770059959,-78264.93771821406,-78264.93768196093,Bricks
2025-03-31,72372.36541154009,72372.36538926598,72372.36543521949,Bricks
2025-04-30,861.7053574068577,861.7053321851809,861.7053856496605,Bricks
2025-05-31,-72797.57869932207,-72797.57873188924,-72797.57865974295,Bricks
=======
2024-12-31,37332.82945239109,37332.829442730785,37332.829461856774,Bricks
2025-01-31,47070.97850001037,47070.97848115373,47070.978518204225,Bricks
2025-02-28,-78264.93770059959,-78264.93771927136,-78264.9376826456,Bricks
2025-03-31,72372.36541154009,72372.3653881354,72372.36543335134,Bricks
2025-04-30,861.7053574068577,861.7053318406151,861.7053817478181,Bricks
2025-05-31,-72797.57869932207,-72797.57873102487,-72797.57866829484,Bricks
>>>>>>> abb8366 (added AI insights panel + enhanced MaterialDashboard with bulk orders, summaries, and normalized forecast data)
